Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,10.556000,10.770000,10.314000,10.374000,9.421702,17954804
2019-05-21,10.450000,10.488000,10.262000,10.342000,9.392640,17621187
2019-05-22,10.302000,10.356000,10.142000,10.238000,9.298186,12572112
2019-05-23,10.150000,10.232000,10.064000,10.126000,9.196468,17284599
2019-05-24,10.228000,10.436000,10.196000,10.360000,9.408987,16205560
2019-05-27,10.394000,10.460000,10.000000,10.124000,9.194651,12005618
2019-05-28,10.040000,10.052000,9.840000,9.978000,9.062054,19773106
2019-05-29,9.842000,10.346000,9.791000,10.200000,9.263675,22229569
2019-05-30,10.316000,10.368000,10.026000,10.168000,9.234612,13069193
2019-05-31,9.920000,10.240000,9.920000,10.188000,9.252776,15806569
2019-06-03,10.072000,10.164000,9.970000,10.136000,9.205549,11091495
2019-06-04,10.052000,10.456000,10.022000,10.430000,9.472562,15434794
2019-06-05,10.412000,10.416000,10.004000,10.070000,9.145608,24166716
2019-06-06,10.116000,10.348000,9.827000,9.958000,9.043890,24000143
2019-06-07,10.014000,10.082000,9.935000,10.020000,9.100199,12223255
2019-06-10,10.090000,10.288000,10.028000,10.242000,9.301819,10807105
2019-06-11,10.222000,10.414000,10.182000,10.266000,9.323616,11819389
2019-06-12,10.156000,10.208000,10.030000,10.050000,9.127444,12726501
2019-06-13,10.010000,10.248000,9.963000,10.198000,9.261859,14035401
2019-06-14,10.144000,10.242000,10.072000,10.130000,9.200101,8753523
2019-06-17,10.170000,10.304000,10.104000,10.104000,9.176488,9532769
2019-06-18,10.074000,10.538000,9.954000,10.486000,9.523421,24858229
2019-06-19,10.490000,10.686000,10.450000,10.658000,9.679632,17270747
2019-06-20,10.710000,10.808000,10.566000,10.602000,9.628773,22131314
2019-06-21,10.582000,10.784000,10.570000,10.626000,9.650570,26406831
2019-06-24,10.590000,10.744000,10.446000,10.450000,9.490726,11260201
2019-06-25,10.398000,10.444000,10.244000,10.268000,9.325433,10763811
2019-06-26,10.234000,10.584000,10.214000,10.532000,9.565198,16175395
2019-06-27,10.646000,10.840000,10.640000,10.750000,9.763186,18306483
2019-06-28,10.800000,10.884000,10.732000,10.826000,9.832211,14723783
2019-07-01,11.008000,11.056000,10.662000,10.664000,9.685081,17630145
2019-07-02,10.690000,10.724000,10.456000,10.550000,9.581546,17484923
2019-07-03,10.550000,11.138000,10.490000,11.138000,10.115569,36724538
2019-07-04,11.206000,11.746000,11.202000,11.690000,10.616898,34869685
2019-07-05,11.732000,11.798000,11.462000,11.550000,10.489750,24835535
2019-07-08,11.500000,11.614000,11.224000,11.346000,10.304476,17741254
2019-07-09,11.278000,11.474000,11.152000,11.382000,10.337172,16722779
2019-07-10,11.476000,11.654000,11.438000,11.464000,10.411644,17581724
2019-07-11,11.572000,11.658000,11.416000,11.596000,10.531527,14670962
2019-07-12,11.650000,11.784000,11.534000,11.540000,10.480667,16797422
2019-07-15,11.572000,11.630000,11.362000,11.438000,10.388030,12459580
2019-07-16,11.450000,11.786000,11.430000,11.736000,10.658675,17189559
2019-07-17,11.704000,11.788000,11.522000,11.584000,10.520628,13152359
2019-07-18,11.466000,11.710000,11.444000,11.652000,10.582387,12024629
2019-07-19,11.722000,11.740000,11.144000,11.226000,10.195492,26461621
2019-07-22,11.196000,11.350000,11.096000,11.188000,10.160979,14327252
2019-07-23,11.202000,11.546000,11.202000,11.484000,10.429809,18267238
2019-07-24,11.484000,11.520000,11.312000,11.448000,10.397113,13230874
2019-07-25,11.482000,11.758000,11.328000,11.440000,10.389847,24008333
2019-07-26,11.410000,11.430000,11.252000,11.354000,10.311742,15809058
2019-07-29,11.330000,11.368000,11.036000,11.036000,10.022933,15077231
2019-07-30,11.030000,11.048000,10.542000,10.680000,9.699613,27623082
